"URN","LinkURN","LinkName","LinkType","LinkEstablishedDate"
103686,127098,"Stivichall Junior School","Parent",""
103690,127111,"John Gulson Junior School","Parent",""
103690,127121,"John Gulson Infant School","Parent",""
103691,127088,"Manor Park Junior School","Parent",""
103691,127089,"Manor Park Infant School","Parent",""
103692,127104,"Templars Junior School","Parent",""
103692,127105,"Templars Infant School","Parent",""
103693,127097,"Richard Lee Infant School","Parent",""
103693,127096,"Richard Lee Junior School","Parent",""
103695,127081,"Frederick Bird Infant School","Parent",""
103695,127080,"Frederick Bird Junior School","Parent",""
103696,127108,"Wyken Croft Junior School","Parent",""
103696,127109,"Wyken Croft Infant School","Parent",""
103698,127120,"John Shelton Infant School","Parent",""
103698,127119,"John Shelton Junior School","Parent",""
103726,127122,"Holy Family RC Junior School","Parent",""
103726,127125,"Holy Family Infant School","Parent",""
103772,144081,"Sledmere Primary School","Child","31-03-2017"
103774,144080,"Kates Hill Community Primary School","Child","31-03-2017"
103808,143822,"Ham Dingle Primary School","Child","01-11-2016"
103817,143821,"Woodside School","Child","01-11-2016"
103824,144079,"Netherbrook Primary School","Child","31-03-2017"
103825,143537,"Hurst Hill Primary School","Child","09-09-2016"
103853,143818,"Thorns Community College","Child","31-10-2016"
103974,103973,"Fir Tree Primary School","Parent",""
104018,127167,"West Park College","Parent",""
104018,127168,"Holly Lodge High School","Parent",""
104045,104044,"Dorridge Junior School","Result of Amalgamation","31-08-2014"
104052,104047,"Hatchford Brook Junior and Infant School","Result of Amalgamation","27-04-2014"
104104,104106,"St Patrick's Catholic Primary School","Parent",""
104217,127195,"Doe Bank Junior Mixed and Infant School","Parent",""
104217,127196,"Collingwood Primary School","Parent",""
104219,127191,"Pheasey Junior School","Parent",""
104219,127192,"Pheasey Infant and Nursery School","Parent",""
104290,104289,"Bushbury Hill Junior School","Parent",""
104294,104293,"Old Fallings Junior School","Parent","01-05-2008"
104295,142823,"Oxley Primary School","Child","19-04-2016"
104304,104305,"Rake Gate Infant School","Parent",""
104323,104324,"Stow Heath Junior School","Parent",""
104329,144253,"Parkfield Primary School","Child","31-03-2017"
104331,144252,"Goldthorn Park Primary School","Child","31-03-2017"
104341,104340,"Danesmore Park Primary School","Parent",""
104350,127226,"Dovecotes Junior School","Parent",""
104350,127227,"Dovecotes Infant School","Parent",""
104354,127213,"Woodthorne Junior School","Parent",""
104354,127225,"Woodthorne Infant School","Parent",""
104361,144251,"St Stephen's Church of England Primary School","Child","31-03-2017"
104372,104371,"St Luke's Church of England Aided Junior School","Parent",""
104397,144278,"Moreton Community School","Child","20-01-2017"
104426,144105,"Halsnead Community Primary School","Child","31-03-2017"
104445,144355,"Blacklow Brow Primary School","Child","20-01-2017"
104449,143456,"Cronton CofE Primary School","Child","30-09-2016"
104450,143457,"Halewood CofE Primary School","Child","30-09-2016"
104468,104435,"Mackets Primary School","Parent",""
104495,104497,"Springfield/Elms Federation At Bluebell Park","Parent - merged","31-08-2014"
104557,104740,"Greenways School","Parent",""
104612,127278,"Croxteth County Infant School","Parent",""
104612,127276,"Croxteth County Junior School","Parent",""
104681,127316,"St Anne's RC Junior School","Parent",""
104681,127301,"St Anne's RC Infants' School","Parent",""
104693,104694,"The Queen Mary School","Parent",""
104784,127332,"Merton Bank Junior School","Parent",""
104784,127333,"Merton Bank Infant School","Parent",""
104791,127339,"Sutton CofE Junior School","Parent",""
104791,127347,"Sutton CofE Infant School","Parent",""
104792,127341,"Earlestown District CofE Junior School","Parent",""
104792,104756,"Newton-Le-Willows Nursery School","Parent",""
104792,127342,"District CofE Infant School","Parent",""
104802,104803,"Blackbrook RC Infant School","Parent",""
104820,127348,"St James' CofE (Aided) Junior School","Parent",""
104820,127340,"St James's CofE Infant School","Parent",""
104830,144326,"Rainhill High School","Child","28-02-2017"
104850,134088,"The Airport - Achieving Inclusion and Reintegration","Parent","20-11-2009"
104932,104933,"St Elizabeth's Catholic Infant School","Parent",""
104939,123402,"The Ercall Junior School","Parent",""
104939,123400,"Barn Farm Infant School","Parent",""
105006,143504,"Stanton Road Primary School","Child","30-09-2016"
105053,143505,"Church Drive Primary School","Child","30-09-2016"
105060,127382,"Bidston Avenue Infant School","Parent",""
105060,127383,"Bidston Avenue Junior School","Parent",""
105101,105100,"Pensby High School for Boys: A Specialist Sports College","Parent","20-08-2015"
105135,100194,"St Paul's Catholic School","Parent",""
105156,105167,"Oldhams Primary School","Parent",""
105211,105212,"Scot Lane End CofE Primary School, Blackrod","Parent",""
105257,143772,"Harper Green School","Child","30-11-2016"
105266,144046,"St James's Church of England High School","Child","31-03-2017"
105267,144044,"Canon Slade CofE School","Child","31-03-2017"
105302,105309,"Higher Lane Junior School","Parent",""
105353,127403,"St Mary's RC Infant School","Parent",""
105353,127402,"St Mary's RC Junior School","Parent",""
105355,134361,"Radcliffe Riverside School","Parent","01-09-2009"
105408,105477,"Claremont Infant School","Parent",""
105424,105425,"Lily Lane Infants' School","Parent","01-04-2012"
105432,105433,"New Moston Infant School","Parent",""
105469,105474,"Sandilands Infant School","Parent",""
105472,105476,"Manley Park Infant School","Parent",""
105486,127408,"Crumpsall Lane Junior School","Parent",""
105486,127409,"Crumpsall Lane Infant School","Parent",""
105554,127413,"St Clare's RC Junior School","Parent",""
105554,127417,"St Clare's RC Primary School (Infant Department)","Parent",""
105555,127412,"Mount Carmel RC Infant School","Parent",""
105555,127411,"Mount Carmel RC Junior School","Parent",""
105606,105610,"Crosby Meadow School","Parent",""
105606,105612,"Leacroft School","Parent",""
105635,144025,"Watersheddings Primary School","Child","10-01-2017"
105689,144000,"St Anne's CofE Lydgate Primary School","Child","31-01-2017"
105709,105655,"Chadderton Hall Junior School","Parent","01-09-2012"
105709,144026,"St Matthew's CofE Primary School","Child","10-01-2017"
105712,105713,"St John's CofE Infant and Nursery School","Parent","31-08-2014"
105727,127431,"St Mary's RC Junior School","Parent",""
105727,127432,"St Mary's RC Infant and Nursery School","Parent",""
105770,105758,"South Street Nursery School","Parent","31-08-2016"
105905,105901,"Alder Park Primary School","Parent",""
105925,127467,"Mossfield Junior School","Parent",""
105925,127468,"Mossfield Infant School","Parent",""
105935,105872,"Dorning Street Nursery School","Parent",""
105947,144372,"St Augustine's CofE Primary School","Child","06-02-2017"
105970,127478,"St Thoma's RC Infant School","Parent",""
105970,127477,"St Thoma's RC Junior School","Parent",""
105976,142073,"Irlam and Cadishead College","Child","07-05-2015"
105977,144199,"Moorside High School","Child","31-03-2017"
106034,106066,"North Heaton Primary School","Parent",""
106043,106096,"Offerton Hall Primary School","Parent",""
106073,106069,"Orrishmere Primary School","Result of Amalgamation","01-09-2015"
106076,106070,"Peacefield Primary School","Parent","31-08-2009"
106076,106078,"The Dale Primary School","Parent","31-08-2009"
106099,127498,"Hazel Grove Infant School","Parent",""
106099,127499,"Hazel Grove Junior School","Parent",""
106100,127495,"Arden Infant School","Parent",""
106100,127496,"Arden Junior School","Parent",""
106211,106175,"Wilshaw Nursery School","Parent",""
106216,106175,"Wilshaw Nursery School","Parent",""
106225,127526,"Leigh Street Junior School","Parent",""
106225,127527,"Leigh Street Infant School","Parent",""
106225,143495,"Leigh Primary School","Child","30-09-2016"
106233,143551,"St Paul's CofE Primary School, Stalybridge","Child","14-09-2016"
106235,127530,"Micklehurst Community Junior School","Parent",""
106235,127525,"Hollins Nursery School","Parent",""
106235,127531,"All Saints CofE Infant School","Parent",""
106243,106175,"Wilshaw Nursery School","Parent",""
106245,106176,"Trafalgar Nursery School","Parent",""
106288,106292,"Heyes Lane Infant School","Parent","01-09-2011"
106303,106309,"Cherry Manor Primary School","Parent",""
106316,106317,"Davyhulme Infant School","Parent","01-09-2008"
106413,106429,"Shevington Vale Primary School","Child","27-10-2017"
106429,106413,"Shevington Community Primary School","Parent","27-10-2017"
106430,106432,"Perry Brook Community Primary School","Parent",""
106441,106444,"Shakerley CofE Primary School","Parent","31-08-2007"
106447,106477,"Belle Green CofE Junior and Infant School","Parent",""
106452,144340,"St Mark's CofE Primary School","Child","20-01-2017"
